Rank,Name,Team,Position,Weekly Score,Edge Score,Hidden Score,Research Score,Contextual Score,Outlook,Top Factors,Upcoming Opponent,Matchup Grade,Referee,Surface,Prime Time Flag,Intl Games Note,International Multiplier
470,Laquon Treadwell,IND,WR,6890.04,-9.07,50.0,49.15,49.55,NEUTRAL,referee (50); surface (50),KC,50.0,,,N,,1.0
471,Charlie Jones,NYG,WR,6884.26,-9.13,50.0,48.1,49.55,NEUTRAL,referee (50); surface (50),LAR,50.0,,,N,,1.0
472,Skyy Moore,GB,WR,6879.94,-9.17,50.0,56.08,49.55,NEUTRAL,referee (50); surface (50),NYJ,50.0,,,N,,1.0
473,Konata Mumpfield,LAR,WR,6878.1,-9.19,50.0,50.0,49.55,NEUTRAL,referee (50); surface (50),NYG,50.0,,,N,,1.0
474,Bryce Oliver,HOU,WR,6875.53,-9.21,50.0,48.16,49.55,NEUTRAL,referee (50); surface (50),CIN,50.0,,,N,,1.0
475,Jalen Brooks,ARI,WR,6872.91,-9.24,50.0,44.32,49.55,NEUTRAL,referee (50); surface (50),SEA,50.0,,,N,,1.0
476,Odell Beckham,NYG,WR,6872.59,-9.24,50.0,49.19,49.55,NEUTRAL,referee (50); surface (50),LAR,50.0,,,N,,1.0
477,Tim Patrick,NYJ,WR,6866.16,-9.31,50.0,49.73,49.55,NEUTRAL,referee (50); surface (50),GB,50.0,,,N,,1.0
478,Zach Wilson,NO,QB,6862.3,-9.35,50.0,45.58,49.55,NEUTRAL,referee (50); surface (50),BAL,50.0,,,N,,1.0
479,Easton Stick,TB,QB,6860.47,-9.36,50.0,36.8,49.55,NEUTRAL,referee (50); surface (50),CLE,50.0,,,N,,1.0
480,Jonathan Mingo,DAL,WR,6858.94,-9.38,50.0,51.21,49.55,NEUTRAL,referee (50); surface (50),WAS,50.0,,,N,,1.0
481,Nick Mullens,JAX,QB,6856.79,-9.4,50.0,42.98,49.55,NEUTRAL,referee (50); surface (50),DEN,50.0,,,N,,1.0
482,Xavier Gipson,PHI,WR,6852.83,-9.44,50.0,49.3,49.55,NEUTRAL,referee (50); surface (50),TEN,50.0,,,N,,1.0
483,Derius Davis,LAC,WR,6852.83,-9.44,50.0,47.74,49.55,NEUTRAL,referee (50); surface (50),LV,50.0,,,N,,1.0
484,Shane Buechele,BUF,QB,6843.78,-10.53,50.0,42.04,53.55,NEUTRAL,environment (83); referee (50),DET,50.0,,,N,,1.0
485,Gage Larvadain,BAL,WR,6834.0,-9.63,50.0,50.0,49.55,NEUTRAL,referee (50); surface (50),NO,50.0,,,N,,1.0
486,Mason Tipton,NO,WR,6832.76,-9.64,50.0,46.89,49.55,NEUTRAL,referee (50); surface (50),BAL,50.0,,,N,,1.0
487,Jalin Hyatt,NYG,WR,6826.65,-9.7,50.0,47.3,49.55,NEUTRAL,referee (50); surface (50),LAR,50.0,,,N,,1.0
488,Joshua Dobbs,DET,QB,6819.8,-10.77,50.0,43.3,53.55,NEUTRAL,environment (83); referee (50),BUF,50.0,,,N,,1.0
489,Jameis Winston,NYG,QB,6800.1,-9.97,50.0,52.93,49.55,NEUTRAL,referee (50); surface (50),LAR,50.0,,,N,,1.0
490,Savion Williams,GB,WR,6790.82,-10.06,50.0,50.0,49.55,NEUTRAL,referee (50); surface (50),NYJ,50.0,,,N,,1.0
491,Jake Bobo,SEA,WR,6780.39,-10.17,50.0,49.19,49.55,NEUTRAL,referee (50); surface (50),ARI,50.0,,,N,,1.0
492,Dont'e Thornton Jr.,LV,WR,6777.95,-10.19,50.0,50.0,49.55,NEUTRAL,referee (50); surface (50),LAC,50.0,,,N,,1.0
493,K.J. Hill,LAC,WR,6777.04,-10.2,50.0,50.0,49.55,NEUTRAL,referee (50); surface (50),LV,50.0,,,N,,1.0
494,Tyler Huntley,BAL,QB,6774.79,-10.22,50.0,37.38,49.55,NEUTRAL,referee (50); surface (50),NO,50.0,,,N,,1.0
495,Arian Smith,NYJ,WR,6774.28,-10.23,50.0,50.0,49.55,NEUTRAL,referee (50); surface (50),GB,50.0,,,N,,1.0
496,Jarrett Stidham,DEN,QB,6773.18,-10.24,50.0,33.79,49.55,NEUTRAL,referee (50); surface (50),JAX,50.0,,,N,,1.0
497,Drew Lock,SEA,QB,6759.95,-10.37,50.0,36.22,49.55,NEUTRAL,referee (50); surface (50),ARI,50.0,,,N,,1.0
498,Tanner McKee,PHI,QB,6749.48,-10.48,50.0,48.26,49.55,NEUTRAL,referee (50); surface (50),TEN,50.0,,,N,,1.0
499,Riley Leonard,IND,QB,6746.54,-10.51,50.0,50.0,49.55,NEUTRAL,referee (50); surface (50),KC,50.0,,,N,,1.0
500,Joe Milton III,DAL,QB,6732.02,-10.65,50.0,49.15,49.55,NEUTRAL,referee (50); surface (50),WAS,50.0,,,N,,1.0
501,Tyson Bagent,CHI,QB,6728.16,-10.69,50.0,49.5,49.55,NEUTRAL,referee (50); surface (50),MIN,50.0,,,N,,1.0
502,Mitchell Trubisky,TEN,QB,6717.18,-10.8,50.0,45.99,49.55,NEUTRAL,referee (50); surface (50),PHI,50.0,,,N,,1.0
503,Trey Lance,LAC,QB,6714.57,-10.83,50.0,48.25,49.55,NEUTRAL,referee (50); surface (50),LV,50.0,,,N,,1.0
504,Cedric Tillman,NO,WR,6704.45,-10.93,50.0,54.61,49.55,NEUTRAL,referee (50); surface (50),BAL,50.0,,,N,,1.0
505,Tyrod Taylor,GB,QB,6699.73,-10.97,50.0,39.19,49.55,NEUTRAL,referee (50); surface (50),NYJ,50.0,,,N,,1.0
506,Deshaun Watson,CLE,QB,6694.17,-11.03,50.0,37.76,49.55,NEUTRAL,referee (50); surface (50),TB,50.0,,,N,,1.0
507,Gardner Minshew,ARI,QB,6692.75,-11.04,50.0,39.23,49.55,NEUTRAL,referee (50); surface (50),SEA,50.0,,,N,,1.0
508,Tommy DeVito,NE,QB,6686.82,-11.1,50.0,41.54,49.55,NEUTRAL,referee (50); surface (50),PIT,50.0,,,N,,1.0
509,Andy Dalton,PHI,QB,6683.14,-11.14,50.0,45.23,49.55,NEUTRAL,referee (50); surface (50),TEN,50.0,,,N,,1.0
510,Kenny Pickett,CAR,QB,6666.56,-11.31,50.0,36.77,49.55,NEUTRAL,referee (50); surface (50),ATL,50.0,,,N,,1.0
511,Mason Rudolph,PIT,QB,6650.85,-11.46,50.0,41.79,49.55,NEUTRAL,referee (50); surface (50),NE,50.0,,,N,,1.0
512,Quinn Ewers,JAX,QB,6650.07,-11.47,50.0,50.0,49.55,NEUTRAL,referee (50); surface (50),DEN,50.0,,,N,,1.0
513,Cooper Rush,ATL,QB,6615.94,-11.81,50.0,53.84,49.55,NEUTRAL,referee (50); surface (50),CAR,50.0,,,N,,1.0
514,Aidan O'Connell,LV,QB,6605.46,-11.92,50.0,44.78,49.55,NEUTRAL,referee (50); surface (50),LAC,50.0,,,N,,1.0
515,Kyle Allen,BUF,QB,6453.31,-14.44,50.0,50.15,53.55,NEUTRAL,environment (83); referee (50),DET,50.0,,,N,,1.0
516,Ben Roethlisberger,PIT,QB,6438.75,-13.59,50.0,50.0,49.55,NEUTRAL,referee (50); surface (50),NE,50.0,,,N,,1.0
517,Brady Cook,MIA,QB,6436.0,-13.61,50.0,50.0,49.55,NEUTRAL,referee (50); surface (50),SF,50.0,,,N,,1.0
518,Bailey Zappe,NYJ,QB,6435.08,-13.62,50.0,48.72,49.55,NEUTRAL,referee (50); surface (50),GB,50.0,,,N,,1.0
519,Dwayne Haskins,PIT,QB,6300.02,-14.98,50.0,50.0,49.55,NEUTRAL,referee (50); surface (50),NE,50.0,,,N,,1.0
520,Dillon Gabriel,CLE,QB,6285.32,-15.12,50.0,50.0,49.55,NEUTRAL,referee (50); surface (50),TB,50.0,,,N,,1.0
521,Sam Ehlinger,DEN,QB,6281.64,-15.16,50.0,42.04,49.55,NEUTRAL,referee (50); surface (50),JAX,50.0,,,N,,1.0
522,Max Brosmer,MIN,QB,6046.44,-17.52,50.0,50.0,49.55,NEUTRAL,referee (50); surface (50),CHI,50.0,,,N,,1.0
523,Skylar Thompson,BAL,QB,6028.98,-17.69,50.0,50.95,49.55,NEUTRAL,referee (50); surface (50),NO,50.0,,,N,,1.0
524,Tommy Stevens,NYG,TE,2122.78,-56.8,50.0,50.0,49.55,NEUTRAL,referee (50); surface (50),LAR,50.0,,,N,,1.0
525,E.J. Jenkins,PHI,TE,2122.78,-56.8,50.0,50.4,49.55,NEUTRAL,referee (50); surface (50),TEN,50.0,,,N,,1.0
526,Stephen Carlson,CHI,TE,2122.78,-56.8,50.0,42.04,49.55,NEUTRAL,referee (50); surface (50),MIN,50.0,,,N,,1.0
527,Drake Dabney,GB,TE,2122.78,-56.8,50.0,50.0,49.55,NEUTRAL,referee (50); surface (50),NYJ,50.0,,,N,,1.0
528,Isaac Nauta,GB,TE,2122.78,-56.8,50.0,50.0,49.55,NEUTRAL,referee (50); surface (50),NYJ,50.0,,,N,,1.0
529,Temarrick Hemingway,WAS,TE,2122.78,-56.8,50.0,50.0,49.55,NEUTRAL,referee (50); surface (50),DAL,50.0,,,N,,1.0
530,Nick Kallerup,SEA,TE,2122.78,-56.8,50.0,50.0,49.55,NEUTRAL,referee (50); surface (50),ARI,50.0,,,N,,1.0
531,Brayden Willis,SF,TE,2122.78,-56.8,50.0,61.07,49.55,NEUTRAL,referee (50); surface (50),MIA,50.0,,,N,,1.0
532,Nick Muse,ATL,TE,2122.78,-56.8,50.0,39.63,49.55,NEUTRAL,referee (50); surface (50),CAR,50.0,,,N,,1.0
533,Wendell Smallwood,WAS,RB,2116.5,-56.87,50.0,50.0,49.55,NEUTRAL,referee (50); surface (50),DAL,50.0,,,N,,1.0
534,Adrian Killins,DEN,RB,2116.5,-56.87,50.0,50.0,49.55,NEUTRAL,referee (50); surface (50),JAX,50.0,,,N,,1.0
535,Amar Johnson,LAC,RB,2116.5,-56.87,50.0,50.0,49.55,NEUTRAL,referee (50); surface (50),LV,50.0,,,N,,1.0
536,Cody Schrader,DEN,RB,2116.5,-56.87,50.0,56.06,49.55,NEUTRAL,referee (50); surface (50),JAX,50.0,,,N,,1.0
537,Kendall Milton,CIN,RB,2116.5,-56.87,50.0,42.04,49.55,NEUTRAL,referee (50); surface (50),HOU,50.0,,,N,,1.0
538,Kalel Mullings,TEN,RB,2114.66,-56.89,50.0,50.0,49.55,NEUTRAL,referee (50); surface (50),PHI,50.0,,,N,,1.0
539,Jared Wiley,KC,TE,2114.32,-56.89,50.0,55.91,49.55,NEUTRAL,referee (50); surface (50),IND,50.0,,,N,,1.0
540,Feleipe Franks,CAR,TE,2114.32,-56.89,50.0,50.03,49.55,NEUTRAL,referee (50); surface (50),ATL,50.0,,,N,,1.0
541,Blake Whiteheart,CLE,TE,2114.32,-56.89,50.0,59.21,49.55,NEUTRAL,referee (50); surface (50),TB,50.0,,,N,,1.0
542,Brady Russell,SEA,RB,2094.45,-57.09,50.0,42.04,49.55,NEUTRAL,referee (50); surface (50),ARI,50.0,,,N,,1.0
543,Jonathan Ward,BAL,RB,2094.45,-57.09,50.0,52.64,49.55,NEUTRAL,referee (50); surface (50),NO,50.0,,,N,,1.0
544,Sione Vaki,DET,RB,2052.99,-57.0,50.0,47.25,47.55,NEUTRAL,referee (50); surface (50),BUF,50.0,,,N,,1.0
545,Carter Runyon,LV,TE,2038.25,-57.65,50.0,50.0,49.55,NEUTRAL,referee (50); surface (50),LAC,50.0,,,N,,1.0
546,Chris Collier,LV,RB,1981.44,-58.22,50.0,63.98,49.55,NEUTRAL,referee (50); surface (50),LAC,50.0,,,N,,1.0
547,Robbie Ouzts,SEA,RB,1981.44,-58.22,50.0,50.0,49.55,NEUTRAL,referee (50); surface (50),ARI,50.0,,,N,,1.0
548,Bub Means,CLE,WR,1948.21,-58.55,50.0,50.39,49.55,NEUTRAL,referee (50); surface (50),TB,50.0,,,N,,1.0
549,Chris Blair,ATL,WR,1948.21,-58.55,50.0,56.29,49.55,NEUTRAL,referee (50); surface (50),CAR,50.0,,,N,,1.0
550,Simi Fehoko,ARI,WR,1948.21,-58.55,50.0,46.78,49.55,NEUTRAL,referee (50); surface (50),SEA,50.0,,,N,,1.0
551,Jacob Cowing,SF,WR,1948.21,-58.55,50.0,43.88,49.55,NEUTRAL,referee (50); surface (50),MIA,50.0,,,N,,1.0
