overall_rank,player_name,position,recent_team,projected_ppg,projected_ppg_std,projected_ppg_half_ppr,projected_ppg_ppr,projected_ppg_superflex,reliability_tier,situation_score,career_seasons,tier,live_status,age,data_basis,draft_value_score,draft_value_score_std,draft_value_score_half_ppr,draft_value_score_ppr,avg_receptions_per_game,avg_targets_per_game,avg_carries_per_game,Injury_Flag,consensus_adp,adp_diff,consensus_adp_overall,consensus_adp_positional,our_positional_rank,adp_diff_positional,adp_diff_overall,adp_signal
135,Tank Bigsby,RB,PHI,6.96,,6.96,,6.96,UNPROVEN,68.4,1,Handcuff,,24.0,2024_only*0.85+starter_floor_soft+rel[UNPROVEN*0.92],,,,,,,,,154.9,19.900000000000006,154.9,52.0,49,3.0,19.900000000000006,BUY
136,Jerome Ford,RB,WAS,6.91,,6.91,,6.91,UNPROVEN,55.1,1,Handcuff,,27.0,2024_only*0.85+starter_floor_soft+rel[UNPROVEN*0.92],,,,,,,,,,,,,50,,,UNKNOWN
139,Josh Jacobs,RB,GB,6.75,,6.75,,6.75,UNPROVEN,70.1,1,Handcuff,,28.6,"2024_only*0.85+rel[UNPROVEN*0.92] [consensus_floor:12.5:RB13 consensus GB] [adp_ecr_floor:13.5] [camp_research:MONITOR:0.5:Exempt ≠ IR. Stay on the board as a late lottery, not RB2 price. Haircut for indefinite leave; bump Lloyd / Brooks / Johnson. Revisit when reinstated or a suspension length is announced.]",,,,,,,,MONITOR,28.1,-110.9,28.1,14.0,51,-37.0,-110.9,FADE
145,Travis Etienne,RB,NO,6.57,,6.57,,6.57,UNPROVEN,52.1,1,Handcuff,,27.6,2024_only*0.85+starter_floor_soft+rel[UNPROVEN*0.92],,,,,,,,,,,,,52,,,UNKNOWN
147,Jonah Coleman,RB,DEN,6.5,,6.5,,6.5,UNPROVEN,59.3,0,Handcuff,,,sleeper_roster+adp_prior,,,,,,,,,162.8,15.800000000000011,162.8,59.0,53,6.0,15.800000000000011,BUY
148,Dylan Sampson,RB,CLE,6.5,,6.5,,6.5,UNPROVEN,53.5,0,Handcuff,,,sleeper_roster+adp_prior,,,,,,,,,167.4,19.400000000000006,167.4,61.0,54,7.0,19.400000000000006,BUY
149,Kaelon Black,RB,SF,6.5,,6.5,,6.5,UNPROVEN,69.5,0,Handcuff,,,sleeper_roster+adp_prior,,,,,,,,,159.0,10.0,159.0,57.0,55,2.0,10.0,NEUTRAL
150,Jordan James,RB,SF,6.5,,6.5,,6.5,UNPROVEN,81.5,0,Handcuff,,,sleeper_roster+adp_prior,,,,,,,,,,,,,56,,,UNKNOWN
151,Mike Washington,RB,LV,6.5,,6.5,,6.5,UNPROVEN,58.9,0,Handcuff,,,sleeper_roster+adp_prior,,,,,,,,,,,,,57,,,UNKNOWN
154,Isaac Guerendo,RB,SF,6.35,,6.35,,6.35,UNPROVEN,61.5,1,Handcuff,,26.2,2024_only*0.85+starter_floor_soft+rel[UNPROVEN*0.92],,,,,,,,,,,,,58,,,UNKNOWN
155,Justice Hill,RB,BAL,6.29,,6.29,,6.29,UNPROVEN,60.9,1,Handcuff,,28.8,2024_only*0.85+starter_floor_soft+rel[UNPROVEN*0.92],,,,,,,,,,,,,59,,,UNKNOWN
